Date,City,State,AreaType,School,Fatalities,Year
1997-02-19,Bethel,Alaska,suburban,HS,2,1997
1997-02-20,Jacksonville,Florida,urban,HS,1,1997
1997-03-18,Detroit,Michigan,urban,HS,1,1997
1997-10-01,Pearl,Mississippi,suburban,HS,3,1997
1997-10-14,Garland,Texas,urban,HS,1,1997
1997-10-22,Norwalk,California,urban,HS,2,1997
1997-11-13,Sacramento,California,urban,ES,1,1997
1997-12-01,West Paducah,Kentucky,suburban,HS,3,1997
1997-12-15,Stamps,Arkansas,rural,HS,2,1997
1998-02-25,Reed City,Michigan,rural,HS,1,1998
1998-03-24,Jonesboro,Arkansas,urban,MS,5,1998
1998-03-25,Coldwater,Michigan,suburban,HS,1,1998
1998-03-30,Chapel Hill,North Carolina,urban,MS,0,1998
1998-04-24,Edinboro,Pennsylvania,suburban,HS,1,1998
1998-04-28,Pomona,California,urban,ES,2,1998
1998-05-01,Buffalo,New York,urban,ES,1,1998
1998-05-19,Fayetteville,Tennessee,suburban,HS,1,1998
1998-05-21,Springfield,Oregon,urban,HS,4,1998
1998-05-21,Rialto,California,urban,HS,1,1998
1998-05-27,Pasadena,California,urban,MS,0,1998
1998-05-29,Fort Lauderdale,Florida,urban,HS,2,1998
1998-06-15,Richmond,Virginia,urban,HS,0,1998
1998-09-04,San Bernardino,California,urban,C,2,1998
1998-09-12,Glendale,California,urban,HS,0,1998
1998-12-10,Detroit,Michigan,urban,C,1,1998
1999-01-08,Carollton,Georgia,suburban,HS,2,1999
1999-01-21,North Richland Hills,Texas,urban,HS,1,1999
1999-02-11,Elgin,Illinois,urban,HS,0,1999
1999-04-16,Notus,Idaho,rural,HS,0,1999
1999-04-20,Littleton,Colorado,suburban,HS,15,1999
1999-04-23,Atlanta,Georgia,urban,MS,1,1999
1999-05-20,Conyers,Georgia,suburban,HS,0,1999
1999-08-25,Monticello,Georgia,suburban,HS,1,1999
1999-09-07,Plano,Texas,urban,HS,1,1999
1999-09-09,San Jose,California,urban,HS,1,1999
1999-11-19,Deming,New Mexico,suburban,MS,0,1999
1999-12-06,Fort Gibson,Oklahoma,suburban,MS,0,1999
2000-01-19,New Port Richey,Florida,suburban,HS,0,2000
2000-02-29,Flint,Michigan,urban,ES,1,2000
2000-05-10,Sierra Vista,Arizona,urban,ES,2,2000
2000-05-26,Lake Worth,Florida,suburban,MS,1,2000
2000-06-28,Seattle,Washington,urban,C,2,2000
2000-07-26,Canton,Ohio,urban,HS,1,2000
2000-08-28,Fayetteville,Arkansas,urban,C,2,2000
2000-09-05,Bidwell,Ohio,suburban,ES,2,2000
2000-09-26,New Orleans,Louisiana,urban,MS,0,2000
2000-10-23,Los Angeles,California,urban,C,1,2000
2000-10-26,Brooklyn,New York,urban,HS,1,2000
2000-10-27,Memphis,Tennessee,urban,HS,1,2000
2000-12-01,Granada Hills,California,urban,HS,0,2000
2001-01-10,Oxnard,California,urban,HS,1,2001
2001-01-17,Baltimore,Maryland,urban,HS,1,2001
2001-01-29,Arlington,Texas,urban,MS,1,2001
2001-03-02,San Diego,California,urban,HS,0,2001
2001-03-05,Santee,California,urban,HS,2,2001
2001-03-07,Williamsport,Pennsylvania,urban,HS,0,2001
2001-03-22,El Cajon,California,urban,HS,0,2001
2001-03-30,Gary,Indiana,urban,HS,1,2001
2001-04-03,Klein,Texas,urban,MS,0,2001
2001-04-25,Cleveland,Ohio,urban,HS,1,2001
2001-05-15,Ennis,Texas,suburban,HS,0,2001
2001-05-17,Pierce County,Washington,urban,C,1,2001
2001-10-12,Taylorsville,Utah,urban,HS,0,2001
2001-11-12,Caro,Michigan,suburban,HS,0,2001
2002-01-15,New York City,New York,urban,HS,0,2002
2002-01-16,Gundy,Virginia,rural,C,3,2002
2002-07-26,Charlotte,North Carolina,urban,MS,1,2002
2002-10-04,San Antonio,Texas,urban,MS,1,2002
2002-10-07,Bowie,Maryland,urban,MS,0,2002
2002-10-28,Tucson,Arizona,urban,C,4,2002
2002-11-07,Liberty,Missouri,suburban,ES,1,2002
2002-12-16,Chicago,Illinois,urban,HS,1,2002
2003-03-23,Meridian,Mississippi,suburban,HS,0,2003
2003-04-10,Walnut,California,suburban,HS,0,2003
2003-04-14,New Orleans,Louisiana,urban,HS,1,2003
2003-04-17,Addison,Texas,suburban,ES,1,2003
2003-04-24,Red Lion,Pennsylvania,suburban,MS,1,2003
2003-05-09,Cleveland,Ohio,urban,C,1,2003
2003-05-13,Johnstown,Pennsylvania,urban,HS,1,2003
2003-06-04,Wellsboro,Pennsylvania,suburban,MS,0,2003
2003-07-15,Dallas,Texas,urban,HS,0,2003
2003-09-24,Cold Spring,Minnesota,suburban,HS,2,2003
2003-10-30,Washington,District Of Columbia,urban,HS,1,2003
2003-11-07,Sugar Land,Texas,urban,HS,1,2003
2004-01-21,Henderson,Nevada,urban,ES,1,2004
2004-02-02,District of Columbia,District Of Columbia,urban,HS,1,2004
2004-02-09,East Greenbush,New York,suburban,HS,0,2004
2004-02-11,Philadelphia,Pennsylvania,urban,ES,1,2004
2004-03-17,Joyce,Washington,rural,MS,0,2004
2004-05-07,Randallstown,Maryland,suburban,HS,0,2004
2004-05-24,Salt Lake City,Utah,urban,HS,1,2004
2004-06-01,St Croix,Virgin Islands,urban,HS,1,2004
2004-08-30,Maywood,Illinois,suburban,HS,1,2004
2004-10-04,Memphis,Tennessee,urban,HS,0,2004
2004-11-22,Philadelphia,Pennsylvania,urban,HS,1,2004
2004-12-10,Nine Mile Falls,Washington,suburban,HS,1,2004
2005-01-06,Philadelphia,Pennsylvania,urban,HS,1,2005
2005-03-21,Red Lake,Minnesota,rural,HS,10,2005
2005-05-17,Lower Allen Township,Pennsylvania,suburban,ES,1,2005
2005-09-13,Chicago,Illinois,urban,HS,0,2005
2005-11-08,Jacksboro,Tennessee,rural,HS,1,2005
2006-01-13,Birmingham,Alabama,urban,HS,1,2006
2006-01-15,Longwood,Florida,suburban,MS,1,2006
2006-02-23,Roseburg,Oregon,suburban,HS,1,2006
2006-03-14,Reno,Nevada,urban,MS,0,2006
2006-06-05,Venice,California,suburban,HS,1,2006
2006-08-24,Essex,Vermont,suburban,ES,2,2006
2006-08-30,Hillsborough,North Carolina,suburban,HS,3,2006
2006-09-02,Shepherdstown,West Virginia,suburban,C,2,2006
2006-09-17,Pittsburgh,Pennsylvania,urban,C,0,2006
2006-09-27,Bailey,Colorado,suburban,HS,1,2006
2006-09-29,Cazenovia,Wisconsin,rural,HS,1,2006
2006-10-02,Nickel Mines,Pennsylvania,rural,HS,5,2006
2006-10-09,Joplin,Missouri,urban,MS,0,2006
2006-10-17,Katy,Texas,suburban,HS,1,2006
2006-10-29,Fresno,California,urban,ES,1,2006
2006-11-28,Houston,Texas,urban,HS,1,2006
2006-12-12,Erdenheim,Pennsylvania,rural,MS,1,2006
