Incident Date,State,City Or County,Address,# Killed,# Injured,Year
2015-08-21,North Carolina,Durham,2700 block of Hinson Drive,0,8,2015
2015-08-21,Ohio,Cincinnati,Mathis and Prentice,2,5,2015
2015-08-20,Texas,Grulla (La Grulla),FM 2360,2,2,2015
2015-08-19,New York,Rochester,500 Genesee St,3,4,2015
2015-08-16,Texas,Fort Worth,3651 Sycamore School Rd,0,6,2015
2015-08-16,Illinois,Chicago,5400 block of West Division Street,0,4,2015
2015-08-16,South Carolina,Bennettsville,Highway 38N,0,5,2015
2015-08-15,Pennsylvania,Pittsburgh,West Prospect Avenue,1,3,2015
2015-08-15,California,Los Angeles,57th Street and South Normandie Avenue,0,4,2015
2015-08-15,South Carolina,Orangeburg,2868 Bamberg Road,1,3,2015
2015-08-10,California,Long Beach,1700 block of East 10th Street,0,4,2015
2015-08-09,Mississippi,Forest,Poplar Street,1,3,2015
2015-08-09,Michigan,Detroit,15200 block of Hazelridge,1,3,2015
2015-08-09,Missouri,Kansas City,40th Street and Pennsylvania Avenue,0,4,2015
2015-08-08,North Carolina,Gastonia,4908 Greenwood Drive,2,3,2015
2015-08-08,Arkansas,Blytheville,833 Anderson Street,1,11,2015
2015-08-08,Texas,Houston,2211 Falling Oaks,8,0,2015
2015-08-07,Vermont,Barre (Berlin),3182 Airport Rd,4,0,2015
2015-08-06,South Carolina,Columbia,1505 Garden Plaza,0,4,2015
2015-08-04,Missouri,Saint Louis,2500 block of Semple,1,4,2015
2015-08-03,New York,Brooklyn,98 Dwight Street,0,5,2015
2015-08-02,New York,Brooklyn,Stanley Avenue and Crescent Street,0,9,2015
2015-08-02,Maryland,Baltimore,2700 block of Garrison Avenue,0,7,2015
2015-08-02,Illinois,Chicago,4800 block of West Kamerling Avenue,1,4,2015
2015-08-02,Georgia,Savannah,Barnard Street,0,5,2015
2015-08-02,Illinois,Chicago,6700 block of South Winchester Avenue,0,4,2015
2015-08-01,Florida,Orlando,5801 Shenandoah Way,0,4,2015
2015-07-30,Pennsylvania,Pittsburgh,Brushton Avenue,0,4,2015
2015-07-27,Illinois,Rockford,900 block of Kent Street,0,5,2015
2015-07-26,Missouri,Kansas City,Thompson and Colorado,2,3,2015
2015-07-26,Louisiana,New Orleans,Piety and Treasure street,0,4,2015
2015-07-25,Virginia,Hopewell,500 block of N. 7th Ave,0,4,2015
2015-07-24,Pennsylvania,Erie,200 block of W 29th St,2,5,2015
2015-07-23,Louisiana,Lafayette,3141 Johnson Street,3,9,2015
2015-07-22,Missouri,Saint Louis,Fair Ave and Ashland Ave,0,6,2015
2015-07-22,Georgia,Suwanee,5500 block of Old Atlanta Road,5,0,2015
2015-07-21,Florida,Miami Gardens,Northwest 25th Avenue and Miami Gardens Drive,1,3,2015
2015-07-20,New York,Bronx,E. 153rd St. and the Grand Concourse,0,6,2015
2015-07-19,Virginia,Suffolk,100 block of North Capitol Street,0,4,2015
2015-07-19,Kentucky,Louisville,2928 W Kentucky St,0,6,2015
2015-07-19,North Carolina,Rocky Mount,Interstate 64 and Raliegh Street,0,4,2015
2015-07-18,California,San Diego,200 block of South Bancroft Street,0,4,2015
2015-07-18,California,Santa Paula,Ojai-Santa Paula Street,0,5,2015
2015-07-18,Oregon,Salem,1550 Weston Ct NE,1,4,2015
2015-07-18,Louisiana,Baton Rouge,300 block of Brice Street,2,2,2015
2015-07-17,Illinois,Chicago,4400 block of W. Maypole,0,5,2015
2015-07-17,Ohio,Cincinnati (Westwood),3100 block of Sunshine Avenue,0,4,2015
2015-07-16,Tennessee,Chattanooga,4051 Amnicola Highway,6,2,2015
2015-07-16,Texas,Dallas,Singleton and Hampton,0,5,2015
2015-07-15,Georgia,Atlanta,500 block of Center Hill Avenue,0,5,2015
2015-07-15,Maryland,Baltimore,3500 block of West Garrison Boulevard,1,3,2015
2015-07-15,Ohio,Cleveland,700 block of Thornhill,0,7,2015
2015-07-15,Michigan,Detroit,9200 block of Memorial,0,4,2015
2015-07-15,South Carolina,Holly Hill,7050 Old State Road,4,1,2015
2015-07-14,Missouri,Saint Louis,1100 block of Riverview,0,4,2015
2015-07-13,California,Norwalk,11959 162nd Street,0,4,2015
2015-07-13,California,Stockton,400 block of McCloud Avenue,1,4,2015
2015-07-12,Illinois,River Forest,116 Lathrop Avenue,2,3,2015
2015-07-12,New Jersey,Jersey City,Sip and Van Wagenen avenues,0,4,2015
2015-07-07,Ohio,Cleveland,East 162nd Street and Miles Avenue,1,3,2015
2015-07-07,Maryland,Baltimore,900 block of West Fayette Street,3,1,2015
2015-07-05,Louisiana,Shreveport,3500 block of Hearne Avenue,0,8,2015
2015-07-05,Indiana,Fort Wayne,1400 block of McCulloch Street,0,9,2015
2015-07-05,New Jersey,East Orange,200 block of S. Clinton St,1,3,2015
2015-07-04,District of Columbia,Washington,2600 Douglas Place SE,1,3,2015
2015-07-04,Kentucky,Louisville,2500 block of West Broadway,0,4,2015
2015-07-04,Massachusetts,Pittsfield,Dewey Avenue,1,4,2015
2015-07-04,New York,Syracuse,Bellevue and Rich Street,0,4,2015
2015-07-04,Texas,San Antonio,1100 block of West Avenue,0,4,2015
2015-07-02,Indiana,Indianapolis,500 block of Lynn St,1,3,2015
2015-06-29,Florida,Opa Locka,13450 NW 30th Ave,0,4,2015
2015-06-28,Michigan,Detroit,Gratiot and Loretto,0,5,2015
2015-06-28,Illinois,Venice,1430 Broadway,0,6,2015
2015-06-28,Delaware,Harrington,100 block of East St,0,6,2015
2015-06-27,Massachusetts,Taunton,Weir Street,1,3,2015
2015-06-27,Michigan,Detroit,Stringham Court,0,4,2015
2015-06-24,New York,New York (Manhattan),2110 Madison Ave,0,4,2015
2015-06-22,Pennsylvania,Philadelphia,700 block of East Hilton Street,0,7,2015
2015-06-21,Pennsylvania,Pittsburgh (Wilkinsburg),Rebecca and East Swissvale Avenue,0,4,2015
2015-06-21,Kentucky,Lexington,726 Georgetown St,1,4,2015
2015-06-20,North Carolina,Morven,6066 Robinson Bridge Rd,0,4,2015
2015-06-20,Michigan,Detroit,Dexter and Webb,1,11,2015
2015-06-20,Pennsylvania,Philadelphia,4100 block of Ogden Street,0,11,2015
2015-06-19,Rhode Island,Woonsocket,80 River Street,0,4,2015
2015-06-17,South Carolina,Charleston,110 Calhoun Street,9,0,2015
2015-06-16,Florida,Miami Gardens,600 block of Northwest 177th Street,0,4,2015
2015-06-15,New York,Brooklyn,673 Flatbush Avenue,0,4,2015
2015-06-14,New Jersey,Camden,2800 block of Mitchell Street,1,3,2015
2015-06-14,Oklahoma,Tulsa,1800 block of North Kingston,0,4,2015
2015-06-14,Missouri,Saint Louis,1400 block of North Market Street,0,4,2015
2015-06-13,Georgia,Fayetteville,600 block of Highway 279,1,4,2015
2015-06-13,Oklahoma,Oklahoma City,500 block of SE 69th St,0,4,2015
2015-06-13,Georgia,Milledgeville,451 North Flynn Street,1,3,2015
2015-06-13,New York,Bronx,2409 Creston Avenue,0,5,2015
2015-06-13,Ohio,Columbus,1623 E. Hudson Street,4,1,2015
2015-06-12,Florida,Allapattah,24th Avenue and 36th Street,0,4,2015
2015-06-11,Connecticut,Bridgeport,468 Trumbull Ave,1,8,2015
2015-06-11,Texas,Houston,3400 block of Burkett,1,3,2015
2015-06-10,California,Los Angeles,South Vermont Avenue and West 88th Street,1,3,2015
2015-06-09,Missouri,Saint Louis,North Market Street and North Spring Avenue,1,3,2015
2015-06-07,Montana,Deer Lodge,Boulder Creek Road,5,0,2015
2015-06-06,New York,Buffalo,100 block of Warren Avenue,1,4,2015
2015-06-06,Illinois,Chicago,100 block of North Lorel Avenue,0,5,2015
2015-06-05,Iowa,Davenport,900 block of West 3rd St,0,5,2015
2015-06-05,Louisiana,New Orleans,2100 block of Governor Nicholls Street,1,3,2015
2015-06-03,New York,Wyandanch,Davidson Street,3,1,2015
2015-05-31,Ohio,Cleveland,16209 block of Laverne Avenue,3,1,2015
2015-05-31,Maryland,Springdale,9222 Ardwick Ardmore Road,1,3,2015
2015-05-31,Connecticut,New Haven,849 Chapel Street,0,5,2015
2015-05-31,Georgia,Conyers,4669 Bell Road SE,3,2,2015
2015-05-30,California,San Diego,4200 block of Market Street,0,4,2015
2015-05-28,Nebraska,Omaha,84th and Q,0,4,2015
2015-05-28,Illinois,Chicago,6200 block of South Honore Street,0,5,2015
2015-05-28,Pennsylvania,Chester,2700 block of West 3rd Street,1,3,2015
2015-05-26,Louisiana,New Orleans,6700 block of Tara Lane,2,2,2015
2015-05-25,Illinois,Decatur,1816 N Water,1,4,2015
2015-05-24,Massachusetts,Brockton,1002 Main St,0,5,2015
2015-05-24,Michigan,Flint,W. 12th Street and Hammerberg Road.,0,7,2015
2015-05-24,Alabama,Montgomery,Smiley Court,1,3,2015
2015-05-24,Missouri,Saint Louis,2700 block of Dayton,0,4,2015
2015-05-23,California,Fresno,2400 block of South 9th Street,2,2,2015
2015-05-20,Maryland,Baltimore,800 block of Linwood Avenue,1,3,2015
2015-05-18,Missouri,Kinloch,8000 block of School Way,0,4,2015
2015-05-18,Florida,Miami,Northwest 75th Street and Northwest 16th Avenue,1,4,2015
2015-05-17,Texas,Waco,4671 S Jack Kultgen Fwy,9,18,2015
2015-05-16,Wisconsin,Milwaukee,28th Street and Auer Avenue,0,5,2015
2015-05-16,New York,Rochester,188 Lewis Street,0,4,2015
2015-05-16,Maryland,Baltimore,1700 block of North Broadway,0,5,2015
2015-05-12,Maryland,Capitol Heights,Pard Road,1,4,2015
2015-05-12,Arizona,Tucson,800 block of West Calle Medina Road,5,0,2015
2015-05-10,Ohio,Cleveland,3600 block of Bosworth Rd,1,4,2015
2015-05-10,New Jersey,Jersey City,Bostwick Avenue,0,4,2015
2015-05-10,New Jersey,Newark,19th Avenue and South 16th Street,1,3,2015
2015-05-07,Ohio,Cincinnati,2300 block of Baltimore Avenue,0,4,2015
2015-05-07,Michigan,Detroit,16000 block of Cathedral Street,0,4,2015
2015-05-04,New York,Buffalo,100 block of Roosevelt Avenue,1,3,2015
2015-05-03,Indiana,South Bend,1600 block of South William Street,0,4,2015
2015-05-03,Texas,Houston,San Jacinto at Elgin,0,6,2015
2015-05-03,New York,Bronx,University Avenue,0,4,2015
2015-05-03,Ohio,Dayton,2801 Germantown Street,1,6,2015
2015-05-03,Wisconsin,Menasha,Friendship Trail,4,1,2015
2015-05-01,Wisconsin,Milwaukee,3700 block of 37th Street,2,3,2015
2015-04-27,New York,Brooklyn,1365 Flatbush Ave,2,4,2015
2015-04-27,Arizona,Gila Bend,State Route 85,2,2,2015
2015-04-25,New Jersey,Trenton,Wood Street,0,4,2015
2015-04-25,New York,Gates,24 Hinchey Rd,1,6,2015
2015-04-21,Texas,Killeen,420 Gilmer St,2,3,2015
2015-04-19,Virginia,Richmond,200 block of West Hill Street,0,4,2015
2015-04-18,Alabama,Montgomery,1800 block of Gibbs Court,0,5,2015
2015-04-18,Pennsylvania,Williamsport,321 Pine St,0,5,2015
2015-04-18,North Carolina,Lumberton,Martin Luther King Drive,1,3,2015
2015-04-18,North Carolina,Charlotte,Bost Street,0,4,2015
2015-04-18,New Jersey,Paterson,Rosa Parks Blvd and Godwin Ave,1,3,2015
2015-04-16,Arizona,Phoenix,4300 block of East Anderson Drive,5,0,2015
2015-04-07,Georgia,Rome,20 Copeland Street,1,3,2015
2015-04-05,Pennsylvania,Pittsburgh,Dinwiddie Street,1,3,2015
2015-04-05,Kentucky,Louisville,40th and Grand Street,1,4,2015
2015-04-05,Indiana,Indianapolis,5000 block of Wildflower Court,0,5,2015
2015-04-05,Michigan,Benton Harbor,1000 block of Blossom Lane,0,4,2015
2015-04-03,Florida,Daytona Beach,300 block of Henry Butts Drive,0,4,2015
2015-04-02,Maryland,Baltimore,1900 block of West Lanvale Street,0,5,2015
2015-03-27,Florida,Panama City Beach,5312 Thomas Drive,0,7,2015
2015-03-26,Texas,Amarillo,3100 block of Redwood,0,4,2015
2015-03-24,Indiana,Indianapolis,3100 block of North Harding Street,4,0,2015
2015-03-23,Tennessee,Clarksville,900 block of Carpenter Street,1,4,2015
2015-03-22,New Mexico,Albuquerque,10140 Lomas NE,1,6,2015
2015-03-21,Florida,Tampa,1802 Seventh Ave,0,4,2015
2015-03-20,Oklahoma,Oklahoma City,1300 block of N Stiles Ave,0,4,2015
2015-03-20,Texas,Lancaster,1500 block of Reynolds Street,1,5,2015
2015-03-18,New Jersey,Newark,200 block of Clinton Place,1,3,2015
2015-03-18,Arizona,Mesa,1504 West Main Street,1,5,2015
2015-03-17,California,Stockton,748 N Madison St,3,4,2015
2015-03-15,California,Compton,2700 block of West Alondra Boulevard,0,4,2015
2015-03-14,Georgia,Atlanta,2900 block of Delmar Lane,0,5,2015
2015-03-14,California,Coachella,84000 block of Bagdad Avenue,0,4,2015
2015-03-13,Mississippi,Brookhaven,1097 South First St.,2,3,2015
2015-03-10,Georgia,Columbus,3023 Victory Drive,0,5,2015
2015-03-09,Illinois,Chicago,200 block of West 105th,1,3,2015
2015-03-08,South Carolina,Seneca,Wells Highway,1,3,2015
2015-03-07,Missouri,Saint Louis,3140 Olive St,0,4,2015
2015-03-04,California,San Bernardino,190 block of W Club Center Dr,3,4,2015
2015-03-01,Florida,Orange County,4900 block of Steyr Street,0,4,2015
2015-03-01,Michigan,Detroit,9855 Chalmers St,1,5,2015
2015-02-28,Maryland,Baltimore,4300 block of Welbourne Road,1,3,2015
2015-02-26,Missouri,Tyrone,18279 Highway H,8,1,2015
2015-02-25,Texas,Houston,5022 Mallow St,3,1,2015
2015-02-23,Florida,Daytona Beach,Sheridan Road,0,4,2015
2015-02-22,Texas,Killeen,1706 Godman St.,4,1,2015
2015-02-22,Georgia,Clarkesville,281 Lower Pond Court,3,2,2015
2015-02-22,South Carolina,Charleston,4224 Dorchester Road,0,4,2015
2015-02-20,California,Sacramento,1417 R Street,0,4,2015
2015-02-17,Arkansas,Little Rock,7900 Scott Hamilton,1,3,2015
2015-02-15,California,Long Beach,200 block of W. 14th Street,0,5,2015
2015-02-09,Florida,New Port Richey,9552 Adler Street,3,1,2015
2015-02-08,Tennessee,Friendship,251 Dupree Rd,0,6,2015
2015-02-07,Georgia,Douglasville,3640 Willow Tree Circle,5,2,2015
2015-02-06,Oklahoma,Tulsa,1219 N. Sheridan Road,1,4,2015
2015-02-05,Ohio,Beachwood (Warrensville Heights),Harvard Road,3,3,2015
2015-02-01,New York,Syracuse,1217 West Fayette Street,0,6,2015
2015-02-01,New York,New York (Manhattan),3345 Broadway,1,4,2015
2015-01-31,Georgia,Lagrange,100 block of Woodstream Trail,4,0,2015
2015-01-28,Georgia,Dekalb County,1600 block of Panola Road,1,3,2015
2015-01-26,California,Stockton,1500 block of E. 9th Street,1,3,2015
2015-01-24,New York,Arverne (Queens),231-11 148th Avenue,4,1,2015
2015-01-24,Nebraska,Omaha,3402 Parker St,3,5,2015
2015-01-23,Massachusetts,Boston,954 Parker Street,0,6,2015
2015-01-20,Tennessee,Clarksville,321 Lansinger Lane,1,3,2015
2015-01-19,Texas,San Antonio,1000 block of Gibbs St.,2,5,2015
2015-01-13,Illinois,Rockford,700 block of Oakley Avenue,2,2,2015
2015-01-13,Virginia,Portsmouth,4100 block of Portsmouth Boulevard,0,5,2015
2015-01-11,North Carolina,Hope Mills,1900 block of Gumberry Road,2,5,2015
2015-01-11,Florida,Lakeland,7665 Chase Road,1,3,2015
2015-01-11,California,San Jose,3840 Monterey Hwy,0,5,2015
2015-01-10,Kansas,Wichita,4859 E Harry Street,2,2,2015
2015-01-09,California,San Francisco,Laguna St and Page St,4,0,2015
2015-01-08,Massachusetts,Boston,104 Harrishof Street,1,3,2015
2015-01-07,Tennessee,Chattanooga,773 West Main Street,1,3,2015
2015-01-06,Florida,Miami,1300 block of NW 62nd Street,1,3,2015
2015-01-04,Virginia,Roanoke,3634 Shenandoah Ave NW,2,4,2015
2015-01-04,Texas,Dallas,2000 block of Ben Hur St.,3,1,2015
2015-01-02,Georgia,Savannah,500 block of W. 54th Street,1,4,2015
2015-01-01,Tennessee,Memphis,Interstate 240 and Poplar Avenue,0,5,2015
2016-12-31,Georgia,Lenox (El Dorado),27 Briarwood Ct,2,2,2016
2016-12-31,Texas,Houston,3704 Fannin Street,1,3,2016
2016-12-30,Ohio,Mansfield,3230 Possum Run Rd,0,5,2016
2016-12-30,Connecticut,Wallingford,95 S Turnpike Rd,2,3,2016
2016-12-28,Georgia,Columbus,2914 10th Street,1,4,2016
2016-12-25,Illinois,Chicago,8600 block of S Maryland Ave,3,4,2016
2016-12-25,Alabama,Ozark,858 US-231,0,4,2016
2016-12-25,New York,Mount Vernon,4 North 3rd Avenue,1,5,2016
2016-12-24,North Carolina,Madison,490 K Ford Rd,0,7,2016
2016-12-24,North Carolina,Wilson,2241 Banks Lane East,4,0,2016
2016-12-23,Alabama,Birmingham,3813 Richard Arrington Boulevard North,1,3,2016
2016-12-23,Illinois,Chicago,4900 block of W Hubbard,0,4,2016
2016-12-17,Illinois,Chicago (Roseland),100 block of W 105th St,5,0,2016
2016-12-17,North Carolina,Charlotte,4115 N. Tryon Street,0,4,2016
2016-12-16,Illinois,Chicago,13th and South Kedzie,0,4,2016
2016-12-16,Illinois,Chicago,4300 block of South Rockwell,2,2,2016
2016-12-12,California,Sacramento,4800 block of Myrtle Avenue,1,3,2016
2016-12-11,New York,Brooklyn,192 Knickerbocker Ave,0,4,2016
2016-12-11,Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4,2016
2016-12-11,Maryland,Baltimore,3916 South Hanover Street,0,5,2016
2016-12-11,North Carolina,Rocky Mount,1200 block of East Highland Ave,0,4,2016
2016-12-09,Texas,Channelview,15300 block of Market,4,0,2016
2016-12-09,California,Fresno,842 Fresno Street,0,4,2016
2016-12-05,New Mexico,Albuquerque,1532 Stagecoach Lane,4,1,2016
2016-12-03,California,Los Angeles,91st Street and Western Avenue,0,6,2016
2016-12-02,New Jersey,Bloomfield,3 1st Ave,0,6,2016
2016-12-01,California,Clearlake Oaks,,1,3,2016
2016-11-30,Maryland,Baltimore,2901 Garrison Blvd,2,4,2016
2016-11-28,Texas,Mission (Palmview),1840 West Palma Vista Drive,1,3,2016
2016-11-28,California,Wilmington,1067 McDonald Avenue,0,4,2016
2016-11-28,California,San Pedro,300 block of West 2nd Street,0,4,2016
2016-11-27,Louisiana,New Orleans,100 block of Bourbon Street,1,9,2016
2016-11-27,Missouri,Kansas City,Gregory and Prospect,0,7,2016
2016-11-26,Illinois,Chicago,8800 block of S Exchange Ave,1,5,2016
2016-11-25,Louisiana,New Orleans,Magnolia St and Felicity St,0,4,2016
2016-11-24,Kentucky,Louisville,4501 W Broadway,2,4,2016
2016-11-24,New York,Albany,77 Central Ave,1,3,2016
2016-11-23,Mississippi,Olive Branch,928 Cross Road,0,4,2016
2016-11-22,Florida,Clewiston,1068 Harlem Academy Ave,1,4,2016
2016-11-18,Illinois,Chicago,5000 block of W Wabansia,0,4,2016
2016-11-17,Tennessee,Dyersburg,160 Longfellow,1,7,2016
2016-11-13,Florida,Jacksonville,5105 Cleveland Rd,3,2,2016
2016-11-13,Texas,San Antonio,8000 Midcrown,0,4,2016
2016-11-13,California,San Diego,3800 block of Marlborough Avenue,3,2,2016
2016-11-13,Florida,Orlando,Conley Street and South Ivey Lane,0,4,2016
2016-11-12,California,Sacramento,8600 block of Ardith Drive,1,5,2016
2016-11-12,Missouri,Kansas City,21st St and Cleveland Ave,1,3,2016
2016-11-12,Connecticut,Bridgeport,2500 Park Avenue,0,5,2016
2016-11-11,Texas,Houston,7705 Channelside Street,0,4,2016
2016-11-10,Texas,Houston,6610 S Sam Houston Pkwy W,1,3,2016
2016-11-09,Washington,Seattle,1524 3rd Ave,0,5,2016
2016-11-09,Illinois,Chicago,3400 block of W Monroe,1,3,2016
2016-11-09,Tennessee,Memphis,1800 block of East Brooks Road,0,4,2016
2016-11-05,Florida,Fort Lauderdale (Lauderhill),3135 West Broward Boulevard,1,3,2016
2016-11-05,Texas,San Antonio,10726 Perrin Beitel Rd,0,4,2016
2016-11-05,South Carolina,Myrtle Beach,803 Main St,0,5,2016
2016-11-05,California,Oakland,420 14th Street,0,8,2016
2016-11-05,Illinois,Chicago,4800 block of North Winthrop,0,5,2016
2016-11-04,Pennsylvania,Philadelphia,5451 Springfield Ave,0,4,2016
2016-11-03,Illinois,Chicago,8000 block of S Shore Dr,2,2,2016
2016-11-03,New Jersey,Orange,234 Cleveland Street,2,2,2016
2016-11-02,Arkansas,Little Rock,2111 Bragg Street,1,4,2016
2016-11-01,Tennessee,Memphis,5200 block of Zodiac Rd,1,5,2016
2016-10-31,Louisiana,Shreveport,700 Block of W 68th St,0,4,2016
2016-10-30,Ohio,Toledo,742 Junction Ave,0,4,2016
2016-10-30,New York,New York (Manhattan),135 Ridge Street,0,4,2016
2016-10-30,New York,Newburgh,119 First Street,2,5,2016
2016-10-30,Maryland,Capitol Heights,6860 Walker Mill Road,3,3,2016
2016-10-30,Texas,San Antonio,2900 block of Aspen Meadow,0,5,2016
2016-10-29,Ohio,Dayton,2010 Cornell Ridge Dr,1,3,2016
2016-10-29,California,Los Angeles,1600 block of Century Boulevard,0,5,2016
2016-10-29,California,Riverside,3500 block of Madison Street,0,4,2016
2016-10-28,Mississippi,Jackson,200 block of Lorenz Blvd,0,6,2016
2016-10-28,Florida,Miami Gardens,Northwest 173rd Terrace and 27th Avenue,0,4,2016
2016-10-27,Georgia,Jackson,600 block of Moccasin Gap Road,4,0,2016
2016-10-25,Ohio,Dayton,3300 block of Riverside Dr,1,3,2016
2016-10-25,Virginia,Roanoke,830 Campbell Avenue Southeast,2,3,2016
2016-10-23,Oklahoma,Wellston,Highway 66 and N 3310 Rd,1,5,2016
2016-10-22,California,Oakland,77th and Bancroft Avenues,0,7,2016
2016-10-18,California,San Francisco,325 La Grande Ave,0,4,2016
2016-10-17,Illinois,Chicago (Englewood),6700 block of South Winchester,1,4,2016
2016-10-15,Alabama,Mobile,1800 block of St Stephens Road,0,5,2016
2016-10-15,Illinois,Rockford,7801 East State St,1,5,2016
2016-10-15,California,Los Angeles,2918 Rimpau Blvd,4,11,2016
2016-10-14,Illinois,Chicago,3300 block of W Maypole Ave,1,6,2016
2016-10-13,Illinois,Chicago,2700 block of West Lexington,0,4,2016
2016-10-09,Michigan,Grand Rapids,1850 28th Street SE,1,8,2016
2016-10-09,California,Sacramento,1696 Arden Way,1,3,2016
2016-10-08,New York,Brooklyn,7301 3rd Ave,0,4,2016
2016-10-04,Louisiana,New Orleans,3727 Ulloa Street,3,2,2016
2016-10-03,Minnesota,Minneapolis,Fourth St and Hennepin Ave,0,4,2016
2016-10-02,Texas,San Antonio,2600 South Flores Street,1,4,2016
2016-10-01,Illinois,Pembroke Township,17250E Road,4,0,2016
2016-10-01,California,Fresno,3200 block of East Clay Avenue,0,4,2016
2016-09-29,California,San Francisco,400 block of Ellis St,1,3,2016
2016-09-26,North Carolina,Winston Salem (Winston-salem),100 block of 5 Royales Dr,0,4,2016
2016-09-26,Texas,Humble,21219 Grand Linden Ct,0,4,2016
2016-09-26,Texas,Houston,5450 Weslayan St,1,6,2016
2016-09-25,Illinois,Champaign,300 block of E. Green St,1,3,2016
2016-09-24,Maryland,Baltimore,Greenmount Ave and Preston St,0,8,2016
2016-09-23,Washington,Burlington,201 Cascade Mall Dr,5,0,2016
2016-09-18,Pennsylvania,Philadelphia,3001 Castor Avenue,0,4,2016
2016-09-18,Pennsylvania,Pittsburgh,1700 block of Brighton Pl,0,4,2016
2016-09-18,Virginia,Lynchburg,421 Rivermont Ave,1,3,2016
2016-09-17,Florida,Miami,20582 SW 119th Ave,0,6,2016
2016-09-17,Florida,Orlando,3918 Columbia St,1,6,2016
2016-09-17,Indiana,Indianapolis,2016 West 76th Street,2,2,2016
2016-09-17,District of Columbia,Washington,2600 block of Birney Place SE,2,7,2016
2016-09-16,California,Los Angeles (Hollywood),555 N Heliotrope Dr,2,2,2016
2016-09-16,Pennsylvania,Philadelphia,5100 block of Sansom St,2,5,2016
2016-09-14,Texas,Humble,16000 block of Saybrook,1,3,2016
2016-09-13,Indiana,Fort Wayne,1723 E Wayne St,3,2,2016
2016-09-11,Indiana,Fort Wayne,3006 Holton Avenue,3,1,2016
2016-09-11,Louisiana,New Orleans,2349 S Claiborne Ave,1,5,2016
2016-09-11,Missouri,Kansas City,500 block of Westport Rd,0,6,2016
2016-09-11,Michigan,Saginaw,2207 Pierce Road,0,5,2016
2016-09-11,North Carolina,New Bern,1100 block of Highway 70,0,5,2016
2016-09-11,New Jersey,Jersey City,87 Van Wagenen Ave,1,3,2016
2016-09-10,Florida,Miami,3451 Northwest 36 Street,1,3,2016
2016-09-08,Texas,Del Valle,8330 Linden Rd,4,0,2016
2016-09-08,Arkansas,Hot Springs National Park (Hot Springs),300 block of Lacey St,1,4,2016
2016-09-05,Illinois,Chicago,2700 block of W Lexington Ave,2,3,2016
2016-09-05,Pennsylvania,Reading,600 block of Moss Street,0,4,2016
2016-09-04,Virginia,Roanoke,1020 Orange Ave NE,1,10,2016
2016-09-03,North Carolina,Wilmington,600 block of North 30th St,1,3,2016
2016-09-03,Illinois,Chicago,100 block of North Seeley Avenue,0,4,2016
2016-08-30,Georgia,Atlanta,400 Merritts Avenue NE,0,4,2016
2016-08-30,Illinois,Chicago (Englewood),6800 block of South Ashland,0,4,2016
2016-08-29,New Jersey,Egg Harbor City,907 White Horse Pike,1,5,2016
2016-08-28,Texas,Lubbock,2200 block of 17th St,0,6,2016
2016-08-28,New York,Bronx,514 E 156th St,0,4,2016
2016-08-28,Missouri,Saint Louis,S Grand Blvd and Montana St,2,2,2016
2016-08-28,Alabama,Dadeville,512 E Columbus St,0,5,2016
2016-08-27,Alabama,Bessemer (Brighton),3810 7th Ave,1,6,2016
2016-08-27,Florida,Miami,1900 block of NW 83rd Terr,2,4,2016
2016-08-25,New Jersey,Bridgeton,Marion Street,0,5,2016
2016-08-21,Massachusetts,Boston,Westview and Stratton Street,0,4,2016
2016-08-21,Connecticut,Bridgeport,19 Plymouth St,0,13,2016
2016-08-20,Connecticut,Hamden,903 Dixwell Ave,0,4,2016
2016-08-20,Washington,Tacoma,900 block of Pacific Avenue,0,5,2016
2016-08-20,Alabama,Citronelle,Jim Platt Road,5,0,2016
2016-08-18,Connecticut,Waterbury,402 E Main Street,0,4,2016
2016-08-17,California,Oakland,Mandela Parkway,0,4,2016
2016-08-14,Virginia,Norfolk,1600 block of Selden Avenue,0,4,2016
2016-08-14,Minnesota,Minneapolis,1717 Plymouth Ave N,0,5,2016
2016-08-13,California,Los Angeles,6300 block of 11th Avenue,0,4,2016
2016-08-13,Wisconsin,Milwaukee,4001 West Fond Du Lac Ave,2,2,2016
2016-08-13,New York,Richmond Hill,Jamaica Ave and 105th St,0,4,2016
2016-08-13,Missouri,Joplin,1800 Connecticut Ave,0,4,2016
2016-08-12,Florida,Jacksonville,100 block of West 38th Street,1,3,2016
2016-08-12,Texas,Dallas,10921 Estate Ln,1,3,2016
2016-08-11,Pennsylvania,Philadelphia,500 block of E Ashmead St,0,4,2016
2016-08-10,Illinois,Evanston,Foster Street and Jackson Avenue,0,4,2016
2016-08-10,California,Sacramento,4000 Green Tree Drive,1,3,2016
2016-08-08,Florida,Jacksonville,1214 Labelle St,0,7,2016
2016-08-08,New Mexico,Albuquerque,341 General Marshall Street NE,2,2,2016
2016-08-07,California,Los Angeles,5925 South Figueroa Street,1,3,2016
2016-08-07,Mississippi,Vicksburg,4460 Clay St,1,3,2016
2016-08-07,Colorado,Arvada,5400 block of Sheridan Boulevard,2,2,2016
2016-08-07,Illinois,Chicago,100 block of South Springfield,0,4,2016
2016-08-06,Pennsylvania,Reading (Sinking Spring),51 Winding Brook Drive,5,0,2016
