Incident Date,State,City Or County,Address,# Killed,# Injured,Year
2014-08-18,Louisiana,Saint Martinville,Main and Hyacinth streets,0,4,2014
2014-08-17,New York,Queens,153-38 118th Ave,0,4,2014
2014-08-17,Massachusetts,Boston,Edinboro Street,0,4,2014
2014-08-17,California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,2014
2014-08-17,Nevada,Las Vegas,Owens Avenue and H Street,0,4,2014
2014-08-16,New Jersey,Plainfield,West 3rd Street and Monroe Avenue,1,3,2014
2014-08-16,Utah,Salt Lake City,122 Pierpont Avenue,0,6,2014
2014-08-14,Tennessee,Memphis,797 Pope Street,1,3,2014
2014-08-13,Tennessee,Clarksville,Treeland Drive,0,4,2014
2014-08-13,Louisiana,New Orleans,New Orleans and North Rocheblave streets,0,4,2014
2014-08-12,Georgia,Cartersville,Brent Cir,2,3,2014
2014-08-12,New York,Buffalo,Oakmont Avenue,1,3,2014
2014-08-10,Louisiana,New Orleans,5400 block of Burgundy St,2,5,2014
2014-08-10,Georgia,Wrightsville,Idylwild Dr,0,6,2014
2014-08-10,California,Moreno Valley,16300 block of Heather Glen Road ,0,7,2014
2014-08-10,District of Columbia,Washington,N Street SW,0,6,2014
2014-08-09,Minnesota,Minneapolis,400 3rd Ave N,1,8,2014
2014-08-08,Wisconsin,Milwaukee,3000 block of N. 28th Street ,0,4,2014
2014-08-08,District of Columbia,Washington,Second Street and Todd Place NE,0,4,2014
2014-08-08,New Mexico,Albuquerque,3426 Vassar NE,1,3,2014
2014-08-06,California,Bakersfield,1700 block of Quincy Street ,3,1,2014
2014-08-04,Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5,2014
2014-08-03,Texas,Humble,3403 FM 1960,0,7,2014
2014-08-03,Missouri,Saint Louis,5200 block of Thekla ,0,5,2014
2014-08-03,Virginia,Culpeper,4400 block of Rixeyville Road,5,0,2014
2014-08-03,Tennessee,Columbia,East 9th Street and Bridge Street,0,5,2014
2014-08-02,Texas,Dallas,5125 Wynell Street,3,1,2014
2014-08-02,Massachusetts,New Bedford,Acushnet Avenue,0,7,2014
2014-08-02,Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5,2014
2014-08-01,Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3,2014
2014-07-30,North Carolina,Hope Mills,926 Bramblegate Rd,2,3,2014
2014-07-28,Pennsylvania,Philadelphia,4900 block of North Front Street,1,4,2014
2014-07-27,Missouri,Saint Louis,2000 block of East John Avenue,0,5,2014
2014-07-26,Arkansas,Pine Bluff,Third Ave and Redbud St,1,3,2014
2014-07-26,Maine,Saco,35 Water Street,5,0,2014
2014-07-26,Georgia,Sylvester,Royal Street,0,8,2014
2014-07-25,Illinois,Chicago,700 South California Avenue,1,6,2014
2014-07-23,Pennsylvania,Braddock,700 block of Hickory St,0,4,2014
2014-07-21,New Jersey,Irvington,36 Welland Avenue,0,6,2014
2014-07-21,Tennessee,Memphis,300 block of Foote Park Lane,0,4,2014
2014-07-20,Illinois,East Saint Louis,5103 block of Bunkum Rd,1,3,2014
2014-07-20,Nevada,Las Vegas,Rancho Drive 3400 block ,1,3,2014
2014-07-19,Illinois,Chicago,1300 North Mason Avenue,0,4,2014
2014-07-14,California,Sacramento,Fulton Avenue ,1,4,2014
2014-07-13,Washington,Skyway,12600 Renton Avenue South ,0,5,2014
2014-07-13,Connecticut,Stamford,84 West Park Place,0,5,2014
2014-07-13,District of Columbia,Washington,1700 block of Lincoln Road NE,0,4,2014
